zip_2,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,revol_bal,revol_util,mort_acc,credit_history,credit_line_ratio,balance_annual_income,fico_avg_score,installment_amnt_ratio
00,1.1818181818181819,13.018181818181818,5.2727272727272725,23.363636363636363,7.181818181818182,3.8181818181818183,11.088423145993811,0.8181818181818182,2.4545454545454546,20.37090909090909,14340.181818181818,51.22727272727273,1.0,5600.454545454545,0.4876934070713975,0.21583524595792777,697.0,0.03179420811029329
01,1.2695594457811332,12.645396166929395,5.374429602588567,23.97071268563843,6.095038579606737,3.7020658757155895,11.168798488500023,1.0895212810088775,2.495312370364225,17.142620924251226,18712.639259935288,52.93790757487762,1.719654857711773,5950.253961669294,0.5040813517958204,0.2172964438630493,700.4734920766614,0.030637400225940747
02,1.2442074702696666,12.695068952040646,5.36876779632628,23.90391379599129,5.834291776003573,3.5652392384568143,11.151513264600025,1.0759309921277427,2.4896432360002234,16.72866897437329,18146.955334710514,53.65251298084976,1.3861314276143153,5749.092010496343,0.5124962018786906,0.21103724939388244,698.9831388532187,0.0309345786403047
03,1.242175572519084,12.760562977099237,5.352099236641221,23.82270992366412,6.221374045801527,3.741412213740458,11.12233700815952,1.040267175572519,2.502862595419847,18.650784351145038,17877.933015267176,54.48780534351145,1.8423664122137404,5967.9874045801525,0.488050232293186,0.2092941816889889,699.1604007633588,0.030986057156768824
04,1.2219430485762144,12.412428810720268,5.386934673366834,24.010887772194305,6.159966499162479,3.8542713567839195,11.00082579203126,1.11892797319933,2.345896147403685,19.609413735343384,16172.835845896147,54.21909547738694,1.847571189279732,6175.922948073702,0.4851977297053767,0.23222081305117984,696.8492462311558,0.031060804628177494
05,1.229018492176387,12.742840208629683,5.350403034613561,23.808440018966333,6.369843527738265,3.750118539592224,10.987530179402636,1.0867709815078237,2.4703651019440493,19.95886201991465,15701.192508297772,56.693741109530585,1.9739212897107634,6183.135135135135,0.4639058071758335,0.2187670912864233,698.9867235656709,0.031112856189445193
06,1.243887264356374,12.999649100976793,5.290424936228457,23.497729110931374,6.166521495675978,3.7134324643812606,11.179378193430898,1.0630249486716854,2.618552852609967,17.014488894419213,19820.27001804268,53.423063522677786,1.6689479250917687,6071.602563304921,0.5162739900297499,0.20185510537915122,698.405711441548,0.031089334720042692
07,1.241060392959127,13.003575416613392,5.2878148574351105,23.484933725440055,5.914652857690832,3.5475429399480034,11.235936696492322,1.1044623449686741,2.7295742232451095,16.474493457784597,19080.982781400504,51.806940715168565,1.2252908835187317,5848.61364701871,0.5285599892232318,0.1999051532518058,697.4121808805353,0.03110979413871426
08,1.264152085729854,13.112384815644488,5.254949446025307,23.328510019979415,6.264696978870255,3.73185203124054,11.18324473891949,1.0877277956045286,2.6532663316582914,17.297787733849972,18669.380153780952,52.36807531634074,1.6908639583459466,5994.9226857177455,0.5125177845005862,0.20483495294240964,697.2840104135133,0.030915742026064102
09,1.1711711711711712,12.424954954954956,5.405405405405405,24.18018018018018,8.36936936936937,3.4774774774774775,11.256712112169422,1.2612612612612613,3.189189189189189,19.99630630630631,16858.972972972973,54.27747747747748,1.045045045045045,5701.657657657658,0.4178372180760301,0.21865428039004256,707.3603603603603,0.031629647769329985
10,1.2133053685101371,13.245505390587628,5.224307318688597,23.145269897339663,5.7021378371417,3.357471391249954,11.212152709398312,1.119807189903227,2.8365529675828824,14.833060676307172,17682.28538837988,52.69937226331089,0.6383706810906281,5560.488979651912,0.5544278327674561,0.19688249822074055,697.5375133384847,0.031535808758110996
11,1.21932933478735,13.281728189749181,5.215676117775354,23.101472191930206,5.897968920392585,3.443102508178844,11.143843339499277,1.1032442748091602,2.8564885496183208,15.352869956379498,17053.860577971645,52.0195479825518,0.7418484187568157,5520.121319520174,0.5557032430691569,0.20553711585502046,697.3882906215922,0.031491163785512116
12,1.2780153977758768,13.199597946963216,5.229377978736404,23.223512159354758,6.584809971892949,3.7750213857998287,11.085078969276065,1.0718562874251496,2.557619454967616,19.09563118660638,16954.05975803495,54.2802163020897,1.5529756812904802,6020.724917511915,0.49513758767826144,0.21444686430402304,698.3988146156667,0.030821239321871353
13,1.2677051549702907,13.234907660189497,5.2214549542315725,23.165087522081258,6.671591456560141,3.873454311867673,10.967889743740164,1.062951662116589,2.6285530753171673,20.542993415770034,14721.51662116589,53.55757186446122,1.5256142604785612,5957.008190139714,0.48600338559153156,0.2265377694950904,698.3763449494138,0.03093940389035733
