zip_2,term,int_rate,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,revol_bal,revol_util,mort_acc,credit_history,credit_line_ratio,balance_annual_income,fico_avg_score,installment_amnt_ratio
00,0.40451991747794525,5.03259141632185,1.4206272622267315,6.8741941676494305,3.0925129528647677,0.6030226891555273,0.46120238052084034,0.7507571935295483,2.3817487845545915,12.40834272136731,5844.465412989999,20.831566955420847,1.2649110640673518,2486.885174817541,0.15697549433790015,0.10646396731323196,22.472205054244224,0.0038641298047879455
01,0.4437493529823401,4.650107522366959,1.3143240317483667,6.556430361773436,3.5994636648624097,0.6229592344134662,0.4980401633178723,0.8425896961745492,2.135490741262462,7.861924589838434,24419.824655996774,24.148593527749973,2.06502559643305,2643.7347844460146,0.16855552429152507,0.10374858792575486,32.97192315624282,0.004285694532000548
02,0.4296283128010461,4.619841221731093,1.3094018288412046,6.527430569563703,3.6375129862804534,0.6383219709317223,0.4978723561193874,0.845678535833259,2.1828710984132775,7.930907870959111,28212.63502697478,24.313658012325032,1.957754771039993,2633.7423141514023,0.17547931505006714,0.10470609723598194,31.797147128169176,0.004173702124480291
03,0.4284408890768492,4.59404765303642,1.2980506409174237,6.451225042307427,3.615337260311539,0.6170284418383587,0.5203328577826222,0.8404390396325367,2.124847189685183,7.886471331239861,23615.496695959773,24.345289777105897,2.1067971263977405,2506.4598466004827,0.1687644681322361,0.10856372933404007,32.427826488098226,0.004208464431242559
04,0.41572716983364233,4.668134721069656,1.236913451943219,6.1246385499153595,3.7015035569724835,0.652959742928048,0.4914469971969312,0.8476149803468424,2.0525667065318527,8.122122800367759,15945.872599477938,24.349541505330137,1.94954332057547,2644.731895438943,0.16948973856703867,0.11572725282087505,30.412405158563047,0.004070252758008432
05,0.42030082537805563,4.566641860071227,1.2830178484866757,6.38979743614632,3.5874162082766707,0.6272256275370389,0.4593909786943822,0.8709743149473153,2.2048116498307415,8.249786917748722,15409.263263364002,24.198827709529375,2.2300736527406553,2552.8849112816984,0.16340290521389605,0.11162444796240789,31.105696259394485,0.0042435121371452575
06,0.42943886689595917,4.602911860943016,1.299919025259001,6.469123774799251,3.5866232104598468,0.6451792136329924,0.5479333249115184,0.8368368427483396,2.3143936227282658,7.997584535429167,43703.67124356102,24.12452293912418,2.017430760499107,2771.7822991149255,0.1759998226410201,0.11004957234448252,31.64111036826278,0.004221427578796762
07,0.4277359905746798,4.594434089167641,1.3018119191229092,6.47827534846876,3.6121848269082086,0.665231750217341,0.5552018704039955,0.8218461100335942,2.4711199367180954,8.129271085046216,28040.707579937094,24.012190997208606,1.8601372242729568,2776.1672622374176,0.17911685489704057,0.10893308597588396,31.15079209329294,0.004252470255782326
08,0.4408940125146747,4.60539224899918,1.3109771813206872,6.5079245647476,3.5872531117680064,0.6570118772347896,0.520176172275307,0.8253918106484692,2.3551684901899894,8.02972353199222,24874.88586430685,24.249079395820846,2.054205371927981,2781.1041339183225,0.17444132303812204,0.10890785515502731,31.242260564650593,0.004349846366604639
09,0.37836667818578207,5.015057123552827,1.403750679613716,7.0905804329639235,2.6957135264844845,0.6855236465233493,0.43095943090954214,0.79443189206,2.718667833913292,7.98903247389569,13107.982426722383,27.178513186588763,1.5278468949198196,2165.5865570975766,0.15231635536651372,0.11697825238376414,34.95264141216141,0.0035880940883424276
